Date,Calls,Query,Bookings Margin,Bookings Count,Issued Margin,Issued Count,Pending Margin,Pending Count,Same Month Margin,Same Month Count
15-May,2268,0,122885.44,1515,106984.07,1252,122.61,7,67033.97,958
15-Apr,1911,0,119825.68,1370,108336.97,1130,134.47,6,67713.45,863
15-Mar,2263,0,131550.02,1536,104689.49,1289,52.5,7,69131.01,1006
15-Feb,1709,0,106470.59,1389,76862.42,1076,224.93,5,54652.57,849
15-Jan,2165,0,137026.13,1610,90267.68,1244,269.95,15,66959.47,1034
14-Dec,1943,0,440493.52,5580,106958.31,915,305.59,27,75987.19,715
14-Nov,2443,0,91503.26,918,95857.65,907,58.72,7,68836.19,734
14-Oct,2416,0,66837.09,741,56845.6,647,122.62,13,36851.97,498
14-Sep,1948,0,50337.81,638,46774.22,605,150,5,28844.46,449
14-Aug,2058,0,57291.05,580,53490.1,522,39.48,2,33026.13,401
14-Jul,2933,0,53215.68,529,56267.09,517,99.76,6,34157.09,372
14-Jun,2393,0,47027.97,443,48726.2,417,185.57,7,25886.36,283
14-May,2184,0,49890.64,503,43471.05,441,25.85,5,26845.5,314
14-Apr,2005,0,47904.37,459,50107.6,442,0,2,31209.22,324
14-Mar,2042,0,45303.34,420,49369.67,416,5,4,32639.77,293
14-Feb,1734,0,40971.26,403,36842.23,383,0,7,22353.97,276
14-Jan,1907,0,57327.76,515,41714.77,384,122.69,4,32891.53,321
13-Dec,1616,0,19932.01,144,19509.56,144,0,1,12170.51,92
13-Nov,1957,0,21511.19,307,20746.98,281,75.78,4,15046.92,232
13-Oct,2628,0,19367.86,205,16875.75,169,169.45,6,11436.05,126
13-Sep,2489,0,15277.57,189,12827.45,163,69.3,6,9340.15,131
13-Aug,3182,0,15389.15,148,14421.61,133,-267.78,9,9879.17,103
13-Jul,4023,0,17405.28,151,16945.89,123,0,4,12948.95,98
13-Jun,2809,0,13764.83,118,19324.69,128,25,2,10916.69,88
13-May,2772,0,16117.52,132,17728.94,128,44,5,11381.23,95
13-Apr,3325,0,25329.72,164,22023.56,146,1037.5,5,15400.65,112
13-Mar,3913,0,14972.45,125,14769.24,123,-33.1,2,6990.82,84
13-Feb,3532,0,12373.08,107,12852.27,112,0,1,7248.25,73
13-Jan,4373,0,28831.32,221,22885.52,177,0,3,19218.35,154
12-Dec,4218,0,10256.52,77,8835.69,73,0,1,7148.48,53
12-Nov,5095,0,12140.46,107,13559.66,107,N/A,0,9864.22,84
12-Oct,6770,0,14212.62,112,15407.23,114,-53,2,11872.64,84
12-Sep,9706,0,14482.61,116,12852.31,107,0,2,9638.38,77
12-Aug,6880,0,8552.13,93,8990.69,84,0,1,5281.1,57
12-Jul,10432,0,7863.12,73,8647.33,63,0,3,4770.32,43
12-Jun,9863,0,12352.94,99,11421.42,97,0,4,8180.68,71
12-May,10008,0,8714.9,89,9590.76,84,8,1,5093.98,58
12-Apr,9810,0,11694.24,97,11415.76,98,N/A,0,8879.05,75
12-Mar,13427,0,8653.44,91,10478.31,89,-4,5,5515.66,57
12-Feb,13660,0,9382.66,88,7462.78,75,91.5,2,5526.49,60
12-Jan,17217,0,10474.51,111,8696.6,86,50,6,6629.16,73
11-Dec,10181,0,6853.94,52,7416.23,52,N/A,0,5716.5,36
11-Nov,13176,0,7212.99,69,8533.56,82,N/A,0,5518,53
11-Oct,10519,0,5882.02,65,4947.65,63,N/A,0,3850.43,46
11-Sep,8349,0,5536.07,60,5033.49,53,N/A,0,3021.43,36
11-Aug,7891,0,8337.62,60,7951.95,66,N/A,0,5247.3,46
11-Jul,11046,0,9174.88,55,10167.32,69,N/A,0,5243.18,32
11-Jun,10892,0,7932.22,69,6933.69,69,N/A,0,3057.22,35
11-May,10632,0,6062.38,60,6659.69,66,N/A,0,3446.15,35
11-Apr,12287,0,6858.99,76,8219.36,67,N/A,0,4485.02,41
11-Mar,14074,0,9423.31,78,8096.97,71,N/A,0,4961.34,39
11-Feb,11391,0,7780.64,97,7746.9,83,0,2,4442.1,56
11-Jan,12060,0,8627.4,80,6132.1,56,N/A,0,3416.38,38
10-Dec,11736,0,6575.77,60,4467.91,44,N/A,0,3339.08,31
10-Nov,11931,0,4484.19,53,4364.65,44,N/A,0,2857.24,33
10-Oct,10681,0,6249.2,48,3726.08,39,0,3,2794.04,30
10-Sep,3399,0,5852.38,115,4509.44,52,371.85,16,4431.94,50
